px_est	py_est	v_est	yaw_ang_est	yaw_rate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_ang_gt	yaw_rate_gt	NIS_laser	NIS_radar
13.4578	2.4867	5.05878	0.434661	0.293576	radar	10.7843	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	2.429	10.7843
13.7084	2.59886	5.09118	0.448024	0.291547	lidar	0.885342	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	0.885342	10.7843
13.9274	2.71405	5.06702	0.466801	0.298612	radar	0.175777	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	0.885342	0.175777
14.1564	2.86634	5.09621	0.498499	0.320123	lidar	0.518796	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	0.518796	0.175777
14.4075	2.97659	5.18401	0.497786	0.290842	radar	1.52	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	0.518796	1.52
14.6155	3.04239	5.11756	0.487885	0.259875	lidar	2.34586	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	2.34586	1.52
14.8467	3.19935	5.19477	0.512877	0.270665	radar	3.65271	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	2.34586	3.65271
15.0548	3.39311	5.22332	0.559394	0.313178	lidar	0.959452	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	0.959452	3.65271
15.2641	3.56406	5.19865	0.595028	0.344254	radar	2.50269	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	0.959452	2.50269
15.4786	3.74993	5.23215	0.629247	0.365863	lidar	0.50817	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	0.50817	2.50269
15.6896	3.88534	5.21284	0.638633	0.354989	radar	1.05302	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	0.50817	1.05302
15.913	4.0233	5.21409	0.644602	0.339809	lidar	0.271574	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	0.271574	1.05302
16.1068	4.18827	5.15016	0.674187	0.365475	radar	1.72671	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	0.271574	1.72671
16.3045	4.38138	5.17846	0.705768	0.382237	lidar	0.296709	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	0.296709	1.72671
16.5147	4.54642	5.2015	0.717757	0.370839	radar	0.670304	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	0.296709	0.670304
16.6934	4.71041	5.17586	0.73649	0.371379	lidar	0.4914	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	0.4914	0.670304
16.8436	4.90457	5.05628	0.786956	0.432458	radar	4.16586	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	0.4914	4.16586
17.007	5.12887	5.09117	0.829142	0.458294	lidar	0.471106	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	0.471106	4.16586
17.1768	5.29838	5.05534	0.846585	0.45491	radar	1.6887	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	0.471106	1.6887
17.3361	5.47534	5.03321	0.865564	0.450435	lidar	0.204166	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.204166	1.6887
17.4922	5.64282	4.97665	0.883608	0.450599	radar	3.11842	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	0.204166	3.11842
17.6869	5.75913	4.91659	0.866247	0.401092	lidar	1.86889	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	1.86889	3.11842
